#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
23,Balicanta Holdings Ltd.,14-04-14 12:49,"510 Spencer Crescent, Saskatoon, SK, S7K 7T4",ID: 4138 Telehealth:  Rescode: 34424 Telephone: 934-5903 Fax: ,"Saskatoon, Personal Care Home, ",52.188105,-106.634498,YES,YES
24,Battleford Personal Care Home,14-08-18 12:49,"222 - 26th Street West, Battleford, SK, S0M 0E0",ID: 1066 Telehealth:  Rescode: 43830 Telephone: 937-2422 Fax: ,"Prairie North, Personal Care Home, ",52.739692,-108.309327,YES,YES
25,Battlefords,14-08-12 12:49,"Battlefords Family Health Centre, 1192-101st Street, North Battleford, SK, S9A 3W2",ID: 2 Telehealth:  Rescode: 43721 Telephone: 937-6700 Fax: ,"Prairie North, Primary Health Centre, ",52.775495,-108.298781,YES,YES
26,Battlefords District Care Centre,14-08-24 12:49,"Box 69, 1308 Winnipeg Street, Battleford, SK, S0M 0E0",ID: 24116 Telehealth:  Rescode: 43830 Telephone: 446-6900 Fax: 937-2258,"Prairie North, Special Care Home, ",52.738333,-108.315278,YES,YES
27,Battlefords Union Hospital,14-08-10 12:49,"1092 107th Street, North Battleford, SK, S9A 1Z1",ID: 107 Telehealth: Yes Rescode: 43721 Telephone: 446-6600 Fax: 446-6561,"Prairie North, Hospital, Regional, Telehealth, ",52.773365,-108.289116,YES,YES
28,Beaulah's Care Home,14-04-03 12:49,"320 - 2nd Avenue East, Biggar, SK, S0K 0M0",ID: 4073 Telehealth:  Rescode: 34730 Telephone: 948-5648 Fax: ,"Heartland, Personal Care Home, ",52.056402,-107.991647,YES,YES
29,Beauval Health Centre,14-11-21 12:49,"Box 68, Beauval, SK, S0M 0G0",ID: 215 Telehealth: Yes Rescode: 80370 Telephone: 288-4800 Fax: 288-2225,"Keewatin Yattht̩, Health Centre, Telehealth, ",55.15218,-107.607293,YES,YES
30,Beechy,13-12-10 12:49,"Beechy Health Centre, P.O. Box 40, Beechy, SK, S0L 0C0",ID: 3 Telehealth:  Rescode: 22651 Telephone: 867-9700 Fax: ,"Heartland, Primary Health Centre, ",50.877454,-107.38356,YES,YES
31,Beechy Health Centre,13-12-12 12:49,"Box 68, 1st Avenue N., Beechy, SK, S0L 0C0",ID: 6 Telehealth:  Rescode: 22651 Telephone: 859-2118 Fax: 859-2206,"Heartland, Health Centre, ",50.877454,-107.38356,YES,YES
32,Beechy Personal Care Home,13-12-14 12:49,"205 Railway Avenue, Beechy, SK, S0L 0C0",ID: 5606 Telehealth:  Rescode: 22651 Telephone: 859-4470 Fax: ,"Heartland, Personal Care Home, ",50.877454,-107.38356,YES,YES
33,Bengough Health Centre,13-07-15 12:49,"Box 399, 400 2nd Street E., Bengough, SK, S0C 0K0",ID: 7/7135 Telehealth: Yes Rescode: 4030 Telephone: 268-2048 Fax: 268-4339,"Sun Country, Health Centre w/ Special Care, 24/7 ER Health Centre, Telehealth, ",49.396806,-105.127933,YES,YES
34,Bergman's Private Care Home,14-04-15 12:49,"331/333 LaRonge Road, Saskatoon, SK, S7K 4S1",ID: 1694 Telehealth:  Rescode: 34424 Telephone: 934-2031 Fax: ,"Saskatoon, Personal Care Home, ",52.16618,-106.620868,YES,YES
35,Bergman's Private Care Home,14-04-16 12:49,"325/327 LaRonge Road, Saskatoon, SK, S7K 4S1",ID: 1708 Telehealth:  Rescode: 34424 Telephone: 934-2031 Fax: ,"Saskatoon, Personal Care Home, ",52.166264,-106.621278,YES,YES
36,Bethany Pioneer Village Inc.,14-08-01 12:49,"Box 8, Middle Lake, SK, S0K 2X0",ID: 44132 Telehealth:  Rescode: 40050 Telephone: 367-2033 Fax: 367-2155,"Saskatoon, Special Care Home, ",52.481399,-105.302798,YES,YES
37,Betty's Private Care Home,14-04-17 12:49,"122 Adilman Drive, Saskatoon, SK, S7K 7S5",ID: 2089 Telehealth:  Rescode: 34424 Telephone: 931-7859 Fax: ,"Saskatoon, Personal Care Home, ",52.186044,-106.636027,YES,YES
38,Beverly Manor,13-08-05 12:49,"784 - 4th Street East, Shaunavon, SK, S0N 2M0",ID: 3514 Telehealth:  Rescode: 7830 Telephone: 297-3512 Fax: ,"Cypress, Personal Care Home, ",49.654352,-108.406408,YES,YES
39,Big River Health Centre,14-11-12 12:49,"Box 100, Big River, SK, S0J 0E0",ID: 10 Telehealth: Yes Rescode: 55530 Telephone: 469-2220 Fax: 469-2237,"Prince Albert, Hospital w/ Special Care, Community, Telehealth, ",53.833482,-107.031223,YES,YES
40,Big River Personal Care Home,14-11-13 12:49,"Pt NW36-56-8W3 RM#555, Big River, SK, S0J 0E0",ID: 6807 Telehealth:  Rescode: 55530 Telephone: 469-4456 Fax: ,"Prince Albert, Personal Care Home, ",53.833482,-107.031223,YES,YES
41,Biggar Hospital,14-04-05 12:49,"Box 130, 501 1st Ave. W., Biggar, SK, S0K 0M0",ID: 9 Telehealth: Yes Rescode: 34730 Telephone: 948-3323 Fax: 948-2011,"Heartland, Hospital, Community, Telehealth, ",52.057145,-107.983556,YES,YES
42,Biggar Retirement Villa,14-04-06 12:49,"106 - 7th Avenue West, Biggar, SK, S0K 0M0",ID: 6572 Telehealth:  Rescode: 34730 Telephone: 948-3838 Fax: ,"Heartland, Personal Care Home, ",52.061356,-107.989712,YES,YES
43,Billett Powell Enterprises,14-04-18 12:49,"270 Meilicke Road, Saskatoon, SK, S7L 6R1",ID: 2054 Telehealth:  Rescode: 34424 Telephone: 934-6198 Fax: ,"Saskatoon, Personal Care Home, ",52.180137,-106.624605,YES,YES
44,Birch Hills Health Facility/Birchview Nursing Home,14-09-12 12:49,"Box 578, 7 Wilson Street, Birch Hills, SK, S0J 0G0",ID: 11/28118 Telehealth:  Rescode: 46030 Telephone: 749-3331 Fax: 749-2440,"Prince Albert, Health Centre w/ Special Care, ",52.979943,-105.438398,YES,YES
45,Birch Hills Personal Care Home,14-09-13 12:49,"SW16-46A-25W2 RM #460, Birch Hills, SK, S0J 0G0",ID: 6726 Telehealth:  Rescode: 46030 Telephone: 749-2208 Fax: ,"Prince Albert, Personal Care Home, ",52.98238,-105.43207,YES,YES
46,Bjorkdale Personal Care Home,14-08-21 12:49,"Lot 2 &amp; 3, Blk 6, Bjorkdale, SK, S0E 0E0",ID: 1511 Telehealth:  Rescode: 42651 Telephone: 886-2072 Fax: ,"Kelsey Trail, Personal Care Home, ",52.85,-104.05,YES,YES
47,Blaine Lake *,14-09-02 12:49,"Blaine Lake Medical Clinic, P.O. Box 216, Blaine Lake, SK, S0J-0J0",ID: 9b Telehealth:  Rescode: 43430 Telephone: 883-3300 Fax: ,"Prince Albert, Primary Health Centre, ",52.829726,-106.880179,YES,YES
48,Blanche's Care Home,14-04-19 12:49,"1023 Konihowski Road, Saskatoon, SK, S7S 1A6",ID: 7110 Telehealth:  Rescode: 34424 Telephone: 651-0231 Fax: ,"Saskatoon, Personal Care Home, ",52.163836,-106.594486,YES,YES
49,Borden,14-07-22 12:49,"Borden Community Health Centre, 308 Shepard Street, Borden, SK, S0K 0N0",ID: 4 Telehealth:  Rescode: 40550 Telephone: 655-5365 Fax: ,"Saskatoon, Primary Health Centre, ",52.405335,-107.241092,YES,YES
50,Borden Care Home Inc.,14-07-23 12:49,"301 - 2nd Avenue, Box 155, Borden, SK, S0K 0N0",ID: 7591 Telehealth:  Rescode: 40550 Telephone: 997-2266 Fax: ,"Saskatoon, Personal Care Home, ",52.405045,-107.239656,YES,YES
51,Borden Community Health Centre,14-07-25 12:49,"Box 90, Borden, SK, S0K 0N0",ID: 12 Telehealth:  Rescode: 40550 Telephone: 997-2110 Fax: 997-2114,"Saskatoon, Health Centre, ",52.405045,-107.239656,YES,YES
52,Border Health Centre,13-07-09 12:49,"Box 60, 301 1st Street W., Climax, SK, S0N 0N0",ID: 19 Telehealth:  Rescode: 1852 Telephone: 293-2222 Fax: 293-2860,"Cypress, Health Centre, ER Health Centre, ",49.20902,-108.386762,YES,YES
53,Bow Valley Villa Corporation,13-07-11 12:49,"319 Wylie Avenue, Oxbow, SK, S0C 2B0",ID: 3913 Telehealth:  Rescode: 330 Telephone: 483-2744 Fax: ,"Sun Country, Personal Care Home, ",49.233945,-102.173532,YES,YES
54,Broadview and District Centennial Lodge Inc.,13-09-12 12:49,"Box 670, 310 Calgary St., Broadview, SK, S0G 0K0",ID: 13114 Telehealth:  Rescode: 15430 Telephone: 696-2459 Fax: 696-2577,"Regina, Special Care Home, ",50.376204,-102.57907,YES,YES
55,Broadview Hospital,13-09-11 12:49,"Box 100, 901 Nina St., Broadview, SK, S0G 0K0",ID: 13 Telehealth:  Rescode: 15430 Telephone: 696-2441 Fax: 696-2611,"Regina, Hospital, Community, ",50.374482,-102.579052,YES,YES
56,Broadway Care Home Inc.,13-10-04 12:49,"138 Broadway Avenue East, Regina, SK, S4N 0Z5",ID: 2569 Telehealth:  Rescode: 15923 Telephone: 347-3132 Fax: ,"Regina, Personal Care Home, ",50.437782,-104.580801,YES,YES
57,Bryl Modine,14-08-22 12:49,"Box 189, Hafford, SK, S0J 1A0",ID: 7544 Telehealth:  Rescode: 43530 Telephone: 549-4570 Fax: ,"Prince Albert, Personal Care Home, ",52.726502,-107.353148,YES,YES
58,Buchanan's Private Care Home,14-08-08 12:49,"SW7-42-8W2RM Porcupine395, Porcupine Plain, SK, S0E 1H0",ID: 5088 Telehealth:  Rescode: 39530 Telephone: 278-2444 Fax: ,"Kelsey Trail, Personal Care Home, ",52.599789,-103.254325,YES,YES
59,Buffalo Narrows Health Centre,14-11-24 12:49,"Box 40, Buffalo Narrows, SK, S0M 0J0",ID: 210 Telehealth: Yes Rescode: 80270 Telephone: 235-5800 Fax: 235-4500,"Keewatin Yattht̩, Health Centre, Telehealth, ",55.847476,-108.329986,YES,YES
60,Burns Road Seniors Care Home,13-10-07 12:49,"3543 Burns Road, Regina, SK, S4V 2G4",ID: 5185 Telehealth:  Rescode: 15923 Telephone: 789-8725 Fax: ,"Regina, Personal Care Home, ",50.422275,-104.550607,YES,YES
61,Campbell Care Home Ltd.,13-10-09 12:49,"5800 - 4th Avenue, Regina, SK, S4T 0K3",ID: 3751 Telehealth:  Rescode: 15923 Telephone: 543-9525 Fax: ,"Regina, Personal Care Home, ",50.462743,-104.664096,YES,YES
62,Canora Gateway Lodge,14-03-16 12:49,"Box 1387, 212 Centre Ave E., Canora, SK, S0A 0L0",ID: 35118 Telehealth:  Rescode: 27430 Telephone: 563-5685 Fax: 563-5711,"Sunrise, Special Care Home, ",51.625549,-102.438114,YES,YES
63,Canora Hospital,14-03-17 12:49,"Box 749, 1219 Main Street, Canora, SK, S0A 0L0",ID: 16 Telehealth:  Rescode: 27430 Telephone: 563-5621 Fax: 563-5571,"Sunrise, Hospital, Community, ",51.630111,-102.439431,YES,YES
64,Capilano Court,13-09-13 12:49,"1236 - 3rd Avenue N.W., Moose Jaw, SK, S6H 3V3",ID: 108 Telehealth:  Rescode: 16120 Telephone: 693-4518 Fax: ,"Five Hills, Personal Care Home, ",50.404745,-105.542719,YES,YES
65,Caring Arms,13-10-11 12:49,"222 Litzenberger Cres, Regina, SK, S4R 7A3",ID: 7048 Telehealth:  Rescode: 15923 Telephone: 949-0777 Fax: ,"Regina, Personal Care Home, ",50.490349,-104.654333,YES,YES
66,Carmen T. Renderos,14-04-20 12:49,"201 Vancouver Avenue N., Saskatoon, SK, S7L 3P5",ID: 7597 Telehealth:  Rescode: 34424 Telephone: 955-8381 Fax: ,"Saskatoon, Personal Care Home, ",52.130388,-106.716161,YES,YES
67,Carrot River Health Centre,14-10-09 12:49,"Box 10, 4151 1st Avenue W., Carrot River, SK, S0E 0L0",ID: 17 Telehealth:  Rescode: 48630 Telephone: 768-2722 Fax: 768-2734,"Kelsey Trail, Health Centre w/ Special Care, ",53.283333,-103.583333,YES,YES
68,Carrot River*,14-10-08 12:49,"Northern Lights Medical Center, P.O Box 640, Carrot River, SK, S0E 0L0",ID: 1a Telehealth: Yes Rescode: 48630 Telephone: 768-3115 Fax: ,"Kelsey Trail, Primary Health Centre, Telehealth, ",53.283333,-103.583333,YES,YES
69,Carter's Care Home,14-08-07 12:49,"10106 Ross Crescent, North Battleford, SK, S9A 3R6",ID: 7390 Telehealth:  Rescode: 43721 Telephone: 445-5032 Fax: ,"Prairie North, Personal Care Home, ",52.792557,-108.296657,YES,YES
70,Casa-Del-Sol,13-09-14 12:49,"971 Hastings Street West, Moose Jaw, SK, S6H 5R5",ID: 4502 Telehealth:  Rescode: 16120 Telephone: 693-8635 Fax: ,"Five Hills, Personal Care Home, ",50.378204,-105.561178,YES,YES
71,Cedar Garden Personal Care Home II,14-04-21 12:49,"102 Fairbrother Crescent, Saskatoon, SK, S7S 1G5",ID: 6866 Telehealth:  Rescode: 34424 Telephone: 249-0999 Fax: ,"Saskatoon, Personal Care Home, ",52.152503,-106.592659,YES,YES
72,Centennial Special Care Home,13-11-06 12:49,"Box 310, 300 James Street, Esterhazy, SK, S0A 0X0",ID: 37114 Telehealth:  Rescode: 18330 Telephone: 745-6444 Fax: 745-2741,"Sunrise, Special Care Home, ",50.650902,-102.087271,YES,YES
73,Central Butte Regency Hospital,13-11-25 12:49,"Box 40, 601 Canada Street, Central Butte, SK, S0H 0T0",ID: 18/6150 Telehealth: Yes Rescode: 19430 Telephone: 796-2190 Fax: 796-4610,"Five Hills, Hospital w/ Special Care, Community, Telehealth, ",50.796543,-106.506844,YES,YES
74,Central Haven Special Care Home Inc.,14-04-22 12:49,"1020 Avenue I N., Saskatoon, SK, S7L 2H7",ID: 45135 Telehealth:  Rescode: 34424 Telephone: 665-6180 Fax: 665-5540,"Saskatoon, Special Care Home, ",52.140723,-106.682914,YES,YES
75,Central Parkland Lodge,14-03-25 12:49,"Box 459, 36 Downing Drive E., Lanigan, SK, S0K 2M0",ID: 43111 Telehealth:  Rescode: 31030 Telephone: 365-1400 Fax: 000-0000,"Saskatoon, Special Care Home, ",51.850805,-105.027043,YES,YES
76,Chateau Providence Inc.,14-11-30 12:49,"Box 340, 501 1st Avenue, St. Brieux, SK, S0K 3V0",ID: 32155 Telehealth:  Rescode: 39955 Telephone: 275-2227 Fax: 275-2027,"Kelsey Trail, Special Care Home, ",52.638419,-104.88868,NO,YES
77,Chateau St. Michael's,13-09-16 12:49,"525 7th Avenue SE, Moose Jaw, SK, ",ID: 6831 Telehealth:  Rescode: 16120 Telephone: 693-2323 Fax: ,"Five Hills, Personal Care Home, ",50.380846,-105.517271,YES,YES
78,Cheryl's Personal Care Home,13-10-13 12:49,"17/19 Walden Crescent, Regina, SK, S4N 1L1",ID: 6653 Telehealth:  Rescode: 15923 Telephone: 789-6408 Fax: ,"Regina, Personal Care Home, ",50.449682,-104.556084,YES,YES
79,Chez Nous,13-09-21 12:49,"1101 Grafton Avenue, Moose Jaw, SK, S6H 3S4",ID: 4405 Telehealth:  Rescode: 16120 Telephone: 693-4371 Fax: ,"Five Hills, Personal Care Home, ",50.400746,-105.541425,YES,YES
80,Circle C J Acres,14-04-23 12:49,"LSD1&amp;2 SE19-35-4W3 RM 344, Saskatoon, SK, S7K 3J8",ID: 6092 Telehealth:  Rescode: 34424 Telephone: 374-3322 Fax: ,"Saskatoon, Personal Care Home, ",52.172385,-106.649831,YES,YES
81,Circle Drive Special Care Home Inc.,14-04-24 12:49,"Box 60020, 3055 Preston Avenue S., Saskatoon, SK, S7T 1C3",ID: 45311 Telehealth:  Rescode: 34424 Telephone: 955-4800 Fax: 955-2376,"Saskatoon, Special Care Home, ",52.087899,-106.622639,YES,YES
82,Claddagh Manor,13-10-15 12:49,"5161 Sherwood Drive, Regina, SK, S4R 4C1",ID: 6904 Telehealth:  Rescode: 15923 Telephone: 546-3626 Fax: ,"Regina, Personal Care Home, ",50.476998,-104.655923,YES,YES
83,Clair Personal Care Home,14-12-11 12:49,"SW27-35-15W2RMLakeview337, Clair, SK, S0A 0N0",ID: 7153 Telehealth:  Rescode: 33710 Telephone: 383-2225 Fax: ,"Saskatoon, Personal Care Home, ",52.019233,-104.077942,NO,YES
84,Cockle's Care Home,14-09-30 12:49,"SW36-46-28W2 RMofPA #461, Prince Albert, SK, S6V 5P9",ID: 5533 Telehealth:  Rescode: 46122 Telephone: 922-7256 Fax: ,"Prince Albert, Personal Care Home, ",53.176332,-105.756925,YES,YES
85,Colleen Livingstone,14-04-25 12:49,"434 Avenue L. North, Saskatoon, SK, S7J 2G3",ID: 7594 Telehealth:  Rescode: 34424 Telephone: 374-4458 Fax: ,"Saskatoon, Personal Care Home, ",52.102843,-106.622971,YES,YES
86,Comfort Living,13-10-18 12:49,"15/17 Bannister Bay, Regina, SK, S4R 8A8",ID: 5592 Telehealth:  Rescode: 15923 Telephone: 949-4086 Fax: ,"Regina, Personal Care Home, ",50.486773,-104.653459,YES,YES
87,Coronach Health Centre,13-07-03 12:49,"Box 150, 240 Souris Avenue E., Coronach, SK, S0H 0Z0",ID: 20 Telehealth: Yes Rescode: 1130 Telephone: 267-2022 Fax: 267-2324,"Sun Country, Health Centre w/ Special Care, 24/7 ER Health Centre, Telehealth, ",49.113643,-105.52309,YES,YES
88,Coteau Place,13-07-21 12:49,"301 Coteau Street, Arcola, SK, S0C 0G0",ID: 5428 Telehealth:  Rescode: 6430 Telephone: 455-2755 Fax: ,"Sun Country, Personal Care Home, ",49.634403,-102.494529,YES,YES
89,Country Haven,13-08-08 12:49,"Lots1&amp;2 Block65 RM#78, Shaunavon, SK, S0N 2M0",ID: 1384 Telehealth:  Rescode: 7830 Telephone: 297-3126 Fax: ,"Cypress, Personal Care Home, ",49.646338,-108.421579,YES,YES
90,Cozy Manor,13-10-19 12:49,"538/540 Wascana Street, Regina, SK, S4R 4J2",ID: 582 Telehealth:  Rescode: 15923 Telephone: 791-8760 Fax: ,"Regina, Personal Care Home, ",50.470113,-104.639956,YES,YES
91,Cozy Manor,13-10-22 12:49,"530/532 Rose Street, Regina, SK, S4R 1Z3",ID: 590 Telehealth:  Rescode: 15923 Telephone: 791-8761 Fax: ,"Regina, Personal Care Home, ",50.470213,-104.607941,YES,YES
92,Craik &amp; District Health Centre,14-01-13 12:49,"Box 208, Craik, SK, S0G 0V0",ID: 21 Telehealth: Yes Rescode: 22230 Telephone: 734-2288 Fax: 734-2248,"Five Hills, Health Centre w/ Special Care, 24/7 ER Health Centre, Telehealth, ",51.052095,-105.822402,YES,YES
93,Crawford Care Home,14-04-26 12:49,"113 Avenue Q North, Saskatoon, SK, S7L 2X4",ID: 1759 Telehealth:  Rescode: 34424 Telephone: 683-0110 Fax: ,"Saskatoon, Personal Care Home, ",52.129863,-106.696014,YES,YES
94,Cressman House,14-09-21 12:49,"212 - 4th Street West, Lashburn, SK, S0M 1H0",ID: 5398 Telehealth:  Rescode: 47230 Telephone: 285-3705 Fax: ,"Prairie North, Personal Care Home, ",53.127619,-109.622308,YES,YES
95,Crocus Plains Villa Ltd.,13-08-04 12:49,"1135 Park Avenue, Weyburn, SK, S4H 0K6",ID: 2712 Telehealth:  Rescode: 6726 Telephone: 842-0616 Fax: ,"Sun Country, Personal Care Home, ",49.665105,-103.841153,YES,YES
96,Cudworth Health Centre/Nursing Home,14-08-04 12:49,"Box 190, 607 4th Avenue, Cudworth, SK, S0K 1B0",ID: 22/30113 Telehealth:  Rescode: 40131 Telephone: 256-3423 Fax: 256-3343,"Saskatoon, Health Centre w/ Special Care, ",52.489429,-105.736172,YES,YES
97,Cumberland House Health Centre,14-11-14 12:49,"Box 8, 2nd Avenue, Cumberland House, SK, S0E 0S0",ID: 211 Telehealth: Yes Rescode: 80570 Telephone: 888-2051 Fax: 888-2269,"Kelsey Trail, Health Centre, Telehealth, ",53.958266,-102.267444,YES,YES
98,Cupar and District Nursing Home Inc.,13-12-28 12:49,"Box 310, Cupar, SK, S0G 0Y0",ID: 40112 Telehealth:  Rescode: 21830 Telephone: 723-4666 Fax: 723-4248,"Regina, Special Care Home, ",50.94683,-104.211685,YES,YES
99,Cupar Health Centre,13-12-26 12:49,"Box 100, Cupar, SK, S0G 0Y0",ID: 23 Telehealth:  Rescode: 21830 Telephone: 723-4300 Fax: 000-0000,"Regina, Health Centre, ",50.94683,-104.211685,YES,YES
100,Cutknife Health Complex,14-12-03 12:49,"Box 220, Cutknife, SK, S0M 0N0",ID: 24/25155 Telehealth: Yes Rescode: 43930 Telephone: 398-4718 Fax: 398-2206,"Prairie North, Health Centre w/ Special Care, Telehealth, ",52.789901,-109.008128,NO,YES
101,Cypress Lodge Nursing Home,13-08-23 12:49,"Box 878, Highway 21 S., Maple Creek, SK, S0N 1N0",ID: 2121 Telehealth:  Rescode: 11130 Telephone: 662-2671 Fax: 662-2501,"Cypress, Special Care Home, ",49.903758,-109.477795,YES,YES
102,Cypress Regional Hospital,13-09-06 12:49,"499 4th Avenue N.E., Swift Current, SK, S9H 2K1",ID: 149 Telehealth: Yes Rescode: 13725 Telephone: 778-9400 Fax: 773-0189,"Cypress, Hospital, Regional, Telehealth, ",50.289815,-107.794862,YES,YES
103,Davidson + District Health Centre,14-02-18 12:49,"Box 758, 900 Government Road, Davidson, SK, S0G 1A0",ID: 26 Telehealth: Yes Rescode: 25230 Telephone: 567-2801 Fax: 567-2346,"Heartland, Hospital w/ Special Care, Community, Telehealth, ",51.26716,-105.985234,YES,YES
104,Deep South Personal Care Corporation,13-07-27 12:49,"211 Keeler Street, Pangman, SK, S0C 2C0",ID: 6033 Telehealth:  Rescode: 6953 Telephone: 442-2043 Fax: ,"Sun Country, Personal Care Home, ",49.645624,-104.661874,YES,YES
105,Deer Valley Personal Care Home,14-08-20 12:49,"72 - 28th Street, Battleford, SK, S0M 0E0",ID: 6475 Telehealth:  Rescode: 43830 Telephone: 937-7652 Fax: ,"Prairie North, Personal Care Home, ",52.741418,-108.30395,YES,YES
106,Delisle Community Health and Social Centre,14-03-29 12:49,"Box 119, Delisle, SK, S0L 0P0",ID: 612 Telehealth:  Rescode: 34531 Telephone: 493-2810 Fax: 493-2812,"Saskatoon, Health Centre, ",51.92377,-107.134836,YES,YES
