"#","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","LATITUDE","LONGITUDE","APPROVED","VERIFIED"
31,"Weaver Manor",2014-01-31 12:49:00,"6307 - 1st Avenue North, Regina, SK, S4T 7A1","ID: 2763 Telehealth:  Rescode: 15923 Telephone: 543-9285 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1899999999998,-104.61666666667,"YES","YES"
32,"Wawota Memorial Health Centre/Deer View Lodge",2013-08-19 12:49:00,"Box 60, 609 Choo Foo Crescent, Wawota, SK, S0G 5A0","ID: 167/11145 Telehealth: Yes Rescode: 9330 Telephone: 739-2244 Fax: 739-2479","Sun Country,Health Centre w/ Special Care Home,Hospital operating as Health Centre,Telehealth",49.8999999999999,-102.03333333333,"YES","YES"
33,"Watson Community Health Centre/Quill Plains Centennial Lodge",2014-06-13 12:49:00,"Box 220, 402 2nd Street N.E., Watson, SK, S0K 4V0","ID: 166/42136 Telehealth:  Rescode: 33830 Telephone: 287-3791 Fax: 287-4444","Saskatoon,Health Centre w/ Special Care Home",52.1649999999998,-104.51666666667,"YES","YES"
34,"Watrous Hospital",2014-03-20 12:49:00,"Box 130, 702 4th Street E., Watrous, SK, S0K 4T0","ID: 165 Telehealth: Yes Rescode: 31230 Telephone: 946-1200 Fax: 946-2369","Saskatoon,Hospital,Community Hospital,Telehealth",51.6666666666669,-105.466666666669,"YES","YES"
35,"Wascana Rehabilitation Centre",2014-01-30 12:49:00,"2180 23rd Avenue, Regina, SK, S4S 0A5","ID: 501 Telehealth: Yes Rescode: 15923 Telephone: 766-5100 Fax: 766-5244","Regina Qu'Appelle,Rehabilitation Centre,Telehealth",51.1799999999998,-104.61666666667,"YES","YES"
36,"Warman Personal Care Home",2014-07-16 12:49:00,"205 - 6th Avenue South, Warman, SK, S0K 4S0","ID: 5371 Telehealth:  Rescode: 34432 Telephone: 931-2464 Fax: ","Saskatoon,Personal Care Home",52.33,-106.56666666667,"YES","YES"
37,"Warman Mennonite Special Care Home",2014-07-15 12:49:00,"405 3rd Avenue N., Warman, SK, S0K 4S0","ID: 45302 Telehealth:  Rescode: 34432 Telephone: 933-2011 Fax: 933-2782","Saskatoon,Special Care Home",52.32,-106.56666666667,"YES","YES"
38,"Wakaw Personal Care Home",2014-08-19 12:49:00,"SE-10-43-25-2RMHodoo#401, Wakaw, SK, S0K 4P0","ID: 7323 Telehealth:  Rescode: 40130 Telephone: 233-4707 Fax: ","Saskatoon,Personal Care Home",52.68,-105.733333333329,"YES","YES"
39,"Wakaw Hospital",2014-08-16 12:49:00,"Box 309, 301 1st Street N., Wakaw, SK, S0K 4P0","ID: 163 Telehealth:  Rescode: 40130 Telephone: 233-4611 Fax: 233-5990","Saskatoon,Hospital,Community Hospital",52.67,-105.733333333329,"YES","YES"
40,"Wadena Hospital",2014-03-31 12:49:00,"Box 10, 533 & 433 5th Street N.E., Wadena, SK, S0A 4J0","ID: 162 Telehealth:  Rescode: 33730 Telephone: 338-2515 Fax: 338-2720","Saskatoon,Hospital,Community Hospital",51.951,-103.8,"YES","YES"
41,"W5 Eld'r Care Homes",2014-11-02 12:49:00,"1302/1304 - 13th Street W, Prince Albert, SK, S6V 3J4","ID: 5452 Telehealth:  Rescode: 46122 Telephone: 922-7476 Fax: ","Prince Albert Parkland,Personal Care Home",53.41,-105.76666666667,"YES","YES"
42,"Villeneuve Care Home",2014-11-01 12:49:00,"801 - 12th Street West, Prince Albert, SK, S6V 3C6","ID: 5681 Telehealth:  Rescode: 46122 Telephone: 764-8965 Fax: ","Prince Albert Parkland,Personal Care Home",53.4,-105.76666666667,"YES","YES"
43,"Villa Pascal (Societe Joseph Breton Inc.)",2014-07-31 12:49:00,"1301 113th Street, North Battleford, SK, S9A 3K1","ID: 24134 Telehealth:  Rescode: 43721 Telephone: 445-8465 Fax: 445-5117","Prairie North,Special Care Home",52.4600000000001,-108.28333333333,"YES","YES"
44,"Victoria Hospital",2014-10-31 12:49:00,"1200 24th Street W., Prince Albert, SK, S6V 5T4","ID: 120 Telehealth: Yes Rescode: 46122 Telephone: 765-6000 Fax: 763-2871","Prince Albert Parkland,Hospital,Regional Hospital,Telehealth",53.39,-105.76666666667,"YES","YES"
45,"Vanguard Health Centre",2013-08-22 12:49:00,"Box 190, Division Street, Vanguard, SK, S0N 2V0","ID: 160 Telehealth:  Rescode: 10653 Telephone: 582-2044 Fax: 582-4833","Cypress,Health Centre",49.917,-107.3,"YES","YES"
46,"Vanguard",2013-08-20 12:49:00,"Vanguard Health Centre-Division St. /Box 190, P.O. Box 190, Vanguard, SK, S0N 2V0","ID: 20a Telehealth:  Rescode: 10653 Telephone: 582-2044 Fax: ","Cypress,Primary Health Centre",49.916,-107.3,"YES","YES"
47,"V.I.P. Care Home",2014-01-29 12:49:00,"47 Jupp Place, Regina, SK, S4S 6R1","ID: 5576 Telehealth:  Rescode: 15923 Telephone: 584-3799 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1699999999998,-104.61666666667,"YES","YES"
48,"Uranium City Municipal Hospital",2014-11-26 12:49:00,"Box 360, Baska Road, Uranium City, SK, S0J 2W0","ID: 157 Telehealth: Yes Rescode: 80175 Telephone: 498-2412 Fax: 498-2577","Athabasca Health Authority,Health Centre,Hospital operating as Health Centre,Telehealth",59.5666666666669,-108.61666666667,"YES","YES"
49,"University Park Personal Care Home",2014-01-26 12:49:00,"183 Houston Road, Regina, SK, S4V 0G5","ID: 5770 Telehealth:  Rescode: 15923 Telephone: 789-7534 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1599999999998,-104.61666666667,"YES","YES"
50,"Unity & District Health Centre",2014-07-30 12:49:00,"Box 741, Highway 14 N., Unity, SK, S0K 4L0","ID: 156 Telehealth: Yes Rescode: 41030 Telephone: 228-2666 Fax: 228-2292","Heartland,Hospital w/ Special Care Home,Community Hospital,Telehealth",52.45,-109.16666666667,"YES","YES"
51,"Unique Care Home",2014-01-24 12:49:00,"317 Rose Street North, Regina, SK, S4R 2Y5","ID: 4685 Telehealth:  Rescode: 15923 Telephone: 543-6739 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1499999999998,-104.61666666667,"YES","YES"
52,"Tisdale Hospital",2014-09-04 12:49:00,"Box 1630, 2010 110th Avenue W., Tisdale, SK, S0E 1T0","ID: 153 Telehealth: Yes Rescode: 42730 Telephone: 873-2621 Fax: 873-5994","Kelsey Trail,Hospital,District Hospital,Telehealth",52.85,-104.05,"YES","YES"
53,"Thomson's Tender Loving Care Home",2014-03-07 12:49:00,"304 - 1st Street West, Milden, SK, S0L 2L0","ID: 7021 Telehealth:  Rescode: 28654 Telephone: 935-2029 Fax: ","Heartland,Personal Care Home",51.483333333333,-107.51666666667,"YES","YES"
54,"Theodore Health Centre",2014-03-05 12:49:00,"Box 70, 615 Anderson Avenue, Theodore, SK, S0A 4C0","ID: 152 Telehealth:  Rescode: 27555 Telephone: 647-2115 Fax: 647-2238","Sunrise,Health Centre w/ Special Care Home",51.433333333333,-102.91666666667,"YES","YES"
55,"The Victorian",2014-01-23 12:49:00,"7103 Sherwood Drive, Regina, SK, S4X 2V5","ID: 7624 Telehealth:  Rescode: 15923 Telephone: 949-2929 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1399999999999,-104.61666666667,"YES","YES"
56,"The Shady Rest Personal Care Home",2014-10-29 12:49:00,"2052 - 15th Avenue East, Prince Albert, SK, S6V 7X6","ID: 6149 Telehealth:  Rescode: 46122 Telephone: 763-7630 Fax: ","Prince Albert Parkland,Personal Care Home",53.38,-105.76666666667,"YES","YES"
57,"The Salvation Army William Booth Special Care Home",2014-01-22 12:49:00,"50 Angus Road, Regina, SK, S4R 0J5","ID: 15192 Telehealth:  Rescode: 15923 Telephone: 543-0655 Fax: 543-1292","Regina Qu'Appelle,Special Care Home",51.1299999999999,-104.61666666667,"YES","YES"
58,"The Palliser Regional Care Centre",2013-09-09 12:49:00,"440 Central Avenue S., Swift Current, SK, S9H 3G6","ID: 3151 Telehealth:  Rescode: 13725 Telephone: 778-5160 Fax: 773-3029","Cypress,Special Care Home",50.287,-107.8,"YES","YES"
59,"The Eastern Saskatchewan Pioneer Lodge (Nursing Home)",2013-09-04 12:49:00,"Bag Service #3, 405 Windover Avenue, Moosomin, SK, S0G 3N0","ID:  Telehealth:  Rescode: 12131 Telephone: 435-2100 Fax: 435-4295","Regina Qu'Appelle,Special Care Home",50.14,-101.66666666667,"YES","YES"
60,"The Eastern Saskatchewan Pioneer Lodge",2013-09-03 12:49:00,"Bag Service #3, 506 Windover Avenue, Moosomin, SK, S0G 3N0","ID: 12111 Telehealth: Yes Rescode: 12131 Telephone: 435-2326 Fax: 435-3335","Regina Qu'Appelle,Special Care Home,Telehealth",50.1333333333329,-101.66666666667,"YES","YES"
61,"The Border-Line Housing Company",2013-07-07 12:49:00,"Box 250, 415 Spencer St., Carnduff, SK, S0C 0S0","ID: 10115 Telehealth:  Rescode: 230 Telephone: 482-3424 Fax: 482-5322","Sun Country,Special Care Home",49.1666666666669,-101.8,"YES","YES"
62,"T.L.C. Personal Care Home",2014-09-29 12:49:00,"308 - 3rd Avenue East, Shellbrook, SK, S0J 2E0","ID: 5908 Telehealth:  Rescode: 49330 Telephone: 747-3123 Fax: ","Prince Albert Parkland,Personal Care Home",53.219,-106.4,"YES","YES"
63,"Swift Current Care Centre",2013-09-08 12:49:00,"700 Aberdeen Street E., Swift Current, SK, S9H 3E3","ID: 3133 Telehealth:  Rescode: 13725 Telephone: 773-9371 Fax: 773-1353","Cypress,Special Care Home",50.286,-107.8,"YES","YES"
64,"Sunshine Haven Care Home""""",2014-06-12 12:49:00,"3319 Fairlight Drive, Saskatoon, SK, ","ID: 7447 Telehealth:  Rescode: 34424 Telephone: 655-4651 Fax: ","Saskatoon,Personal Care Home",52.1639999999999,-106.63333333333,"YES","YES"
65,"Sunshine Family Care Home",2014-04-08 12:49:00,"404 - 4th Avenue East, Biggar, SK, S0K 0M0","ID: 930 Telehealth:  Rescode: 34730 Telephone: 948-3644 Fax: ","Heartland,Personal Care Home",52.1,-108,"YES","YES"
66,"Sunrise Country Haven",2013-10-16 12:49:00,"NW3-18-15W2RM S.QuAppe157, McLean, SK, S0G 3E0","ID: 6912 Telehealth:  Rescode: 15750 Telephone: 699-2548 Fax: ","Regina Qu'Appelle,Personal Care Home",50.516666666667,-104.06666666667,"YES","YES"
67,"Sunnyside Nursing Home",2014-06-11 12:49:00,"2200 St. Henry Avenue, Saskatoon, SK, S7M 0P5","ID: 45296 Telehealth:  Rescode: 34424 Telephone: 653-1267 Fax: 653-7223","Saskatoon,Special Care Home",52.1629999999999,-106.63333333333,"YES","YES"
68,"Sunnet Care Home",2014-01-21 12:49:00,"177 McIntyre Street North, Regina, SK, S4R 3B6","ID: 6696 Telehealth:  Rescode: 15923 Telephone: 949-6787 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1199999999999,-104.61666666667,"YES","YES"
69,"Student Health Centre",2014-06-10 12:49:00,"University of Saskatchewan, 91 Campus Drive, Saskatoon, SK, S7N 5E8","ID: 17 Telehealth:  Rescode: 34424 Telephone: 966-5773 Fax: ","Saskatoon,Primary Health Centre",52.1619999999999,-106.63333333333,"YES","YES"
70,"Stuart Manor",2014-01-20 12:49:00,"2909 Pasqua Street, Regina, SK, S4S 2H4","ID: 744 Telehealth:  Rescode: 15923 Telephone: 586-2167 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1099999999999,-104.61666666667,"YES","YES"
71,"Strasbourg and District Health Centre",2014-01-15 12:49:00,"Box 217, 303 Edward Street, Strasbourg, SK, S0G 4V0","ID: 670 Telehealth:  Rescode: 22030 Telephone: 725-3220 Fax: 725-4060","Saskatoon,Health Centre",51.0666666666669,-104.95,"YES","YES"
72,"St. Walburg Personal Care Home",2014-12-05 12:49:00,"408 - 3rd Avenue, St. Walburg, SK, S0M 2T0","ID: 7145 Telehealth:  Rescode: 50130 Telephone: 248-3995 Fax: ","Prairie North,Personal Care Home",0,0,"NO","YES"
73,"St. Walburg Health Complex",2014-12-04 12:49:00,"Box 339, St. Walburg, SK, S0M 2T0","ID: 138/25137 Telehealth:  Rescode: 50130 Telephone: 248-6711 Fax: 248-3413","Prairie North,Health Centre w/ Special Care Home,24/7 ER Health Centre Site",0,0,"NO","YES"
74,"St. Peter's Hospital",2013-12-19 12:49:00,"Box 1810, 200 Heritage Drive, Melville, SK, S0A 2P0","ID: 92 Telehealth: Yes Rescode: 21421 Telephone: 728-5407 Fax: 728-4870","Sunrise,Hospital,District Hospital,Telehealth",50.92,-102.8,"YES","YES"
75,"St. Paul's Hospital",2014-06-09 12:49:00,"1702 20th Street W., Saskatoon, SK, S7M 0Z9","ID: 141 Telehealth: Yes Rescode: 34424 Telephone: 655-5000 Fax: 655-5555","Saskatoon,Hospital,Provincial Hospital,Telehealth",52.1609999999999,-106.63333333333,"YES","YES"
76,"St. Paul Lutheran Home",2013-12-17 12:49:00,"Box 1390, Heritage Drive, Melville, SK, S0A 2P0","ID: 38117 Telehealth:  Rescode: 21421 Telephone: 728-4591 Fax: 728-5471","Sunrise,Special Care Home",50.91,-102.8,"YES","YES"
77,"St. Louis Personal Care Home",2014-12-07 12:49:00,"457 River Road, St. Louis, SK, S0J 2C0","ID: 5622 Telehealth:  Rescode: 43151 Telephone: 422-8223 Fax: ","Prince Albert Parkland,Personal Care Home",0,0,"NO","YES"
78,"St. Joseph's Integrated Care Centre",2014-02-26 12:49:00,"Box 280, 505 Westmoor Street, Lestock, SK, S0A 2G0","ID: 79 Telehealth:  Rescode: 24753 Telephone: 274-2215 Fax: 274-2045","Regina Qu'Appelle,Hospital w/ Special Care Home,Community Hospital",51.3166666666669,-103.983333333329,"YES","YES"
79,"St. Joseph's Hospital / Foyer d' Youville",2013-08-17 12:49:00,"Mailbag 50, 216 Bettez Street, Gravelbourg, SK, S0H 1X0","ID: 46/5111 Telehealth: Yes Rescode: 10430 Telephone: 648-3185 Fax: 648-3440","Five Hills,Hospital w/ Special Care Home,Community Hospital,Telehealth",49.8833333333329,-106.55,"YES","YES"
80,"St. Joseph's Hospital",2013-07-05 12:49:00,"Box 5000, 1176 Nicholson Road, Estevan, SK, S4A 2V6","ID: 36 Telehealth: Yes Rescode: 528 Telephone: 637-2400 Fax: 634-8785","Sun Country,Hospital,District Hospital,Telehealth",49.1333333333329,-102.983333333329,"YES","YES"
81,"St. Joseph's Hospital",2014-11-29 12:49:00,"Bag 500, Ile a la Crosse, SK, S0M 1C0","ID: 56 Telehealth: Yes Rescode: 80374 Telephone: 833-2016 Fax: 833-2556","Keewatin Yatthé,Hospital,Northern Hospital,Telehealth",0,0,"NO","YES"
82,"St. Joseph's Home for the Aged",2014-06-07 12:49:00,"33 Valens Drive, Saskatoon, SK, S7L 3S2","ID: 45250 Telehealth:  Rescode: 34424 Telephone: 382-6306 Fax: 384-0140","Saskatoon,Special Care Home",52.1599999999999,-106.63333333333,"YES","YES"
83,"St. Joseph's Health Centre",2014-07-17 12:49:00,"Box 190, Highway 31 N., Macklin, SK, S0L 2C0","ID: 85 Telehealth: Yes Rescode: 38230 Telephone: 753-2115 Fax: 753-2181","Heartland,Health Centre w/ Special Care Home,Telehealth",52.33,-109.93333333333,"YES","YES"
84,"St. Brieux*",2014-12-01 12:49:00,"St. Brieux Health Centre, 501 1st Ave, St. Brieux, SK, S0K 3V0","ID: 19b Telehealth:  Rescode: 39910 Telephone: 752-9600 Fax: ","Kelsey Trail,Primary Health Centre",0,0,"NO","YES"
85,"St. Anthony's Hospital",2013-11-08 12:49:00,"Box 280, 216 Ancona Street, Esterhazy, SK, S0A 0X0","ID: 35 Telehealth:  Rescode: 18330 Telephone: 745-3973 Fax: 745-3388","Sunrise,Hospital,Community Hospital",50.6499999999999,-102.08333333333,"YES","YES"
86,"St. Anne's Senior Citizens' Village",2014-06-06 12:49:00,"2910 Louise Street, Saskatoon, SK, S7J 3L8","ID: 45241 Telehealth:  Rescode: 34424 Telephone: 374-8900 Fax: 477-2623","Saskatoon,Special Care Home",52.1589999999999,-106.63333333333,"YES","YES"
87,"St Mary's Villa",2014-07-11 12:49:00,"Box 1360, 1109 13th Street N., Humboldt, SK, S0K 2A0","ID: 44114 Telehealth:  Rescode: 37030 Telephone: 682-2628 Fax: 682-3211","Saskatoon,Special Care Home",52.21,-105.11666666667,"YES","YES"
88,"Spruce Manor Special Care Home",2014-07-19 12:49:00,"Box 190, Dalmeny, SK, S0K 1E0","ID: 45117 Telehealth:  Rescode: 34433 Telephone: 254-2162 Fax: 254-2178","Saskatoon,Special Care Home",52.35,-106.76666666667,"YES","YES"
89,"Spiritwood & District Health Complex",2014-10-26 12:49:00,"Box 159, Spiritwood, SK, S0J 2M0","ID:  Telehealth:  Rescode: 49630 Telephone: 883-2267 Fax: 883-2136","Prince Albert Parkland,Special Care Home",53.369,-107.51666666667,"YES","YES"
90,"Spiritwood & District Health Complex",2014-10-24 12:49:00,"Box 69, Spiritwood, SK, S0J 2M0","ID: 148 Telehealth: Yes Rescode: 49630 Telephone: 883-2133 Fax: 883-2136","Prince Albert Parkland,Hospital w/ Special Care Home,Community Hospital,Telehealth",53.3668,-107.51666666667,"YES","YES"
91,"Spalding Community Health Centre",2014-07-18 12:49:00,"Box 220, 133 Centre Street, Spalding, SK, S0K 4C0","ID: 147 Telehealth:  Rescode: 36852 Telephone: 872-2011 Fax: 872-2186","Saskatoon,Health Centre",52.34,-104.5,"YES","YES"
92,"Southey Health Action Centre",2013-12-23 12:49:00,"Box 519, Southey, SK, S0G 4P0","ID:  Telehealth:  Rescode: 21831 Telephone: 726-2239 Fax: 000-0000","Regina Qu'Appelle,Health Centre",50.933333333333,-104.5,"YES","YES"
93,"South Gemini Care Home",2014-01-19 12:49:00,"2928 Wascana Street, Regina, SK, S4S 2G8","ID: 6815 Telehealth:  Rescode: 15923 Telephone: 586-9888 Fax: ","Regina Qu'Appelle,Personal Care Home",51.0999999999999,-104.61666666667,"YES","YES"
94,"Souris Valley Extended Care Centre",2013-08-01 12:49:00,"Box 2003, Weyburn, SK, S4H 2Z9","ID: 8156 Telehealth:  Rescode: 6726 Telephone: 842-7481 Fax: 842-7710","Sun Country,Special Care Home",49.67,-103.849999999999,"YES","YES"
95,"Soft Hearts, Open Minds",2014-09-08 12:49:00,"115 McCosh Drive, Melfort, SK, S0E 1A0","ID: 5940 Telehealth:  Rescode: 42820 Telephone: 752-1979 Fax: ","Kelsey Trail,Personal Care Home",52.89,-104.61666666667,"YES","YES"
96,"Smeaton Health Centre",2014-11-10 12:49:00,"Box 158, 2nd Avenue, Smeaton, SK, S0J 2J0","ID: 146 Telehealth:  Rescode: 48861 Telephone: 426-2051 Fax: 426-2229","Kelsey Trail,Health Centre",53.55,-104.81666666667,"YES","YES"
97,"Smeaton & District Care Home",2014-11-08 12:49:00,"15,16&17 Block 4Plan849, Smeaton, SK, S0J 2J0","ID: 7455 Telehealth:  Rescode: 48861 Telephone:  Fax: ","Kelsey Trail,Personal Care Home",53.5,-104.81666666667,"YES","YES"
98,"Silver Heights Special Care Home",2014-03-04 12:49:00,"Box 549, 402 McLean Street, Raymore, SK, S0A 3J0","ID: 40130 Telehealth:  Rescode: 27830 Telephone: 746-5744 Fax: 746-5747","Regina Qu'Appelle,Special Care Home",51.4166666666669,-104.51666666667,"YES","YES"
