#,INCIDENT TITLE,LOCATION,DESCRIPTION,INCIDENT DATE,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
95,Barrieir Ford,Barrieir Ford,Barrieir Ford,12-04-24 12:49,Kelsey Trail,52.53,-103.70,YES,YES
96,Barthel,Barthel,Barthel,12-04-24 12:49,Prairie North,53.91,-109.05,YES,YES
97,Barvas,Barvas,Barvas,12-04-24 12:49,Sunrise,51.20,-102.10,YES,YES
98,Bateman,Bateman,Bateman,12-04-24 12:49,Five Hills,50.01,-106.75,YES,YES
99,Batoche,Batoche,Batoche,12-04-24 12:49,Saskatoon,52.73,-106.10,YES,YES
100,Battle Creek,Battle Creek,Battle Creek,12-04-24 12:49,Cypress,49.43,-109.85,YES,YES
101,Battle Heights,Battle Heights,Battle Heights,12-04-24 12:49,Kelsey Trail,53.36,-103.38,YES,YES
102,Battleford,Battleford,Battleford,12-04-24 12:49,Prairie North,52.73,-108.31,YES,YES
103,Battleford Junction,Battleford Junction,Battleford Junction,12-04-24 12:49,Prairie North,52.83,-108.35,YES,YES
104,Battrum,Battrum,Battrum,12-04-24 12:49,Cypress,50.55,-108.33,YES,YES
105,Bay Trail,Bay Trail,Bay Trail,12-04-24 12:49,Saskatoon,52.11,-105.15,YES,YES
106,Bayard,Bayard,Bayard,12-04-24 12:49,Five Hills,50.01,-105.28,YES,YES
107,Bayview Heights,Bayview Heights,Bayview Heights,12-04-24 12:49,Prairie North,53.13,-108.40,YES,YES
108,Bazentin,Bazentin,Bazentin,12-04-24 12:49,Prince Albert Parkland,53.31,-107.90,YES,YES
109,Beacon Hill,Beacon Hill,Beacon Hill,12-04-24 12:49,Prairie North,54.35,-109.65,YES,YES
110,Beadle,Beadle,Beadle,12-04-24 12:49,Heartland,51.46,-109.00,YES,YES
111,Bear Creek,Bear Creek,Bear Creek,12-04-24 12:49,Regina Qu'Appelle,50.46,-101.81,YES,YES
112,Beatty,Beatty,Beatty,12-04-24 12:49,Kelsey Trail,52.90,-104.80,YES,YES
113,Beaubier,Beaubier,Beaubier,12-04-24 12:49,Sun Country,49.13,-104.08,YES,YES
114,Beaufield,Beaufield,Beaufield,12-04-24 12:49,Heartland,51.75,-109.10,YES,YES
115,Beauval,Beauval,Beauval,12-04-24 12:49,Keewatin YatthT,55.15,-107.61,YES,YES
116,Beaver Creek,Beaver Creek,Beaver Creek,12-04-24 12:49,Saskatoon,51.96,-106.66,YES,YES
117,Beaver Dale,Beaver Dale,Beaver Dale,12-04-24 12:49,Sunrise,51.25,-102.90,YES,YES
118,Beaver Flat,Beaver Flat,Beaver Flat,12-04-24 12:49,Cypress,50.65,-107.66,YES,YES
119,Beaver Valley,Beaver Valley,Beaver Valley,12-04-24 12:49,Cypress,49.46,-107.75,YES,YES
120,Bechard,Bechard,Bechard,12-04-24 12:49,Regina Qu'Appelle,50.05,-104.21,YES,YES
121,Beechy,Beechy,Beechy,12-04-24 12:49,Heartland,50.88,-107.38,YES,YES
122,Bekevar,Bekevar,Bekevar,12-04-24 12:49,Sun Country,50.03,-102.61,YES,YES
123,Belanger,Belanger,Belanger,12-04-24 12:49,Cypress,49.56,-109.31,YES,YES
124,Belbeck,Belbeck,Belbeck,12-04-24 12:49,Five Hills,50.46,-105.56,YES,YES
125,Belbutte,Belbutte,Belbutte,12-04-24 12:49,Prince Albert Parkland,53.36,-107.81,YES,YES
126,Belle Plaine,Belle Plaine,Belle Plaine,12-04-24 12:49,Five Hills,50.40,-105.15,YES,YES
127,Bellegarde,Bellegarde,Bellegarde,12-04-24 12:49,Sun Country,49.53,-101.55,YES,YES
128,Bemersyde,Bemersyde,Bemersyde,12-04-24 12:49,Sun Country,50.05,-102.98,YES,YES
129,Bender,Bender,Bender,12-04-24 12:49,Sun Country,50.06,-102.53,YES,YES
130,Bengough,Bengough,Bengough,12-04-24 12:49,Sun Country,49.40,-105.13,YES,YES
131,Bensham,Bensham,Bensham,12-04-24 12:49,Kelsey Trail,52.70,-103.81,YES,YES
132,Benson,Benson,Benson,12-04-24 12:49,Sun Country,49.45,-103.01,YES,YES
133,Bents,Bents,Bents,12-04-24 12:49,Heartland,51.81,-107.73,YES,YES
134,Beresina,Beresina,Beresina,12-04-24 12:49,Sunrise,51.01,-101.76,YES,YES
135,Bergheim,Bergheim,Bergheim,12-04-24 12:49,Saskatoon,52.20,-106.41,YES,YES
136,Bernard,Bernard,Bernard,12-04-24 12:49,Heartland,50.81,-107.06,YES,YES
137,Bertwell,Bertwell,Bertwell,12-04-24 12:49,Kelsey Trail,52.58,-102.56,YES,YES
138,Betalock,Betalock,Betalock,12-04-24 12:49,Heartland,51.50,-107.10,YES,YES
139,Bethune,Bethune,Bethune,12-04-24 12:49,Regina Qu'Appelle,50.71,-105.21,YES,YES
140,Beverley,Beverley,Beverley,12-04-24 12:49,Cypress,50.26,-107.96,YES,YES
141,Bexhill,Bexhill,Bexhill,12-04-24 12:49,Five Hills,49.56,-106.03,YES,YES
142,Bickleigh,Bickleigh,Bickleigh,12-04-24 12:49,Heartland,51.28,-108.40,YES,YES
143,Bienfait,Bienfait,Bienfait,12-04-24 12:49,Sun Country,49.15,-102.81,YES,YES
144,Big Beaver,Big Beaver,Big Beaver,12-04-24 12:49,Sun Country,49.10,-105.16,YES,YES
145,Big Muddy,Big Muddy,Big Muddy,12-04-24 12:49,Sun Country,49.03,-104.86,YES,YES
146,Big River,Big River,Big River,12-04-24 12:49,Prince Albert Parkland,53.83,-107.01,YES,YES
147,Big Shell,Big Shell,Big Shell,12-04-24 12:49,Prince Albert Parkland,53.20,-107.13,YES,YES
148,Biggar,Biggar,Biggar,12-04-24 12:49,Heartland,52.06,-108.00,YES,YES
149,Billimun,Billimun,Billimun,12-04-24 12:49,Cypress,49.45,-107.21,YES,YES
150,Birch Hills,Birch Hills,Birch Hills,12-04-24 12:49,Prince Albert Parkland,52.98,-105.41,YES,YES
151,Birch Lake,Birch Lake,Birch Lake,12-04-24 12:49,Prince Albert Parkland,53.46,-108.03,YES,YES
152,Birch Rapids,Birch Rapids,Birch Rapids,12-04-24 12:49,Mamawetan Churchill River,55.56,-105.38,YES,YES
153,Bird's Point,Bird's Point,Bird's Point,12-04-24 12:49,Sunrise,50.55,-102.35,YES,YES
154,Birling,Birling,Birling,12-04-24 12:49,Prairie North,53.05,-109.15,YES,YES
155,Birmingham,Birmingham,Birmingham,12-04-24 12:49,Sunrise,50.96,-102.93,YES,YES
156,Birmingham Junction,Birmingham Junction,Birmingham Junction,12-04-24 12:49,Sunrise,50.93,-102.83,YES,YES
157,Birsay,Birsay,Birsay,12-04-24 12:49,Heartland,51.10,-106.98,YES,YES
158,Birson,Birson,Birson,12-04-24 12:49,Prince Albert Parkland,53.18,-105.40,YES,YES
159,Bishopric,Bishopric,Bishopric,12-04-24 12:49,Five Hills,50.00,-105.78,YES,YES
160,Bjorkdale,Bjorkdale,Bjorkdale,12-04-24 12:49,Kelsey Trail,52.71,-103.65,YES,YES
161,Black Lake,Black Lake,Black Lake,12-04-24 12:49,Athabasca Health Authority,59.13,-105.60,YES,YES
162,Black Point,Black Point,Black Point,12-04-24 12:49,Keewatin YatthT,56.36,-109.45,YES,YES
163,Blackwood,Blackwood,Blackwood,12-04-24 12:49,Regina Qu'Appelle,50.60,-103.41,YES,YES
164,Bladworth,Bladworth,Bladworth,12-04-24 12:49,Heartland,51.36,-106.13,YES,YES
165,Blaine Lake,Blaine Lake,Blaine Lake,12-04-24 12:49,Prince Albert Parkland,52.83,-106.90,YES,YES
166,Blewett,Blewett,Blewett,12-04-24 12:49,Sun Country,49.38,-103.23,YES,YES
167,Blooming,Blooming,Blooming,12-04-24 12:49,Sun Country,49.15,-104.35,YES,YES
168,Blucher,Blucher,Blucher,12-04-24 12:49,Saskatoon,52.01,-106.20,YES,YES
169,Blue Bell,Blue Bell,Blue Bell,12-04-24 12:49,Prairie North,54.21,-109.00,YES,YES
170,Blue Heron,Blue Heron,Blue Heron,12-04-24 12:49,Prince Albert Parkland,53.50,-106.51,YES,YES
171,Blue Jay,Blue Jay,Blue Jay,12-04-24 12:49,Kelsey Trail,53.36,-103.55,YES,YES
172,Blumenheim,Blumenheim,Blumenheim,12-04-24 12:49,Saskatoon,52.40,-106.41,YES,YES
173,Blumenhof,Blumenhof,Blumenhof,12-04-24 12:49,Cypress,50.01,-107.70,YES,YES
174,Blumenort,Blumenort,Blumenort,12-04-24 12:49,Cypress,50.00,-107.75,YES,YES
175,Blumenthal,Blumenthal,Blumenthal,12-04-24 12:49,Saskatoon,52.48,-106.36,YES,YES
176,Bodmin,Bodmin,Bodmin,12-04-24 12:49,Prince Albert Parkland,53.75,-107.00,YES,YES
177,Boharm,Boharm,Boharm,12-04-24 12:49,Five Hills,50.40,-105.71,YES,YES
178,Bolney,Bolney,Bolney,12-04-24 12:49,Prairie North,53.53,-109.30,YES,YES
179,Bonne Madone,Bonne Madone,Bonne Madone,12-04-24 12:49,Saskatoon,52.66,-105.48,YES,YES
180,Booth,Booth,Booth,12-04-24 12:49,Saskatoon,51.41,-104.63,YES,YES
181,Borden,Borden,Borden,12-04-24 12:49,Saskatoon,52.40,-107.23,YES,YES
182,Borderland,Borderland,Borderland,12-04-24 12:49,Five Hills,49.01,-106.10,YES,YES
183,Bounty,Bounty,Bounty,12-04-24 12:49,Heartland,51.51,-107.36,YES,YES
184,Bournemouth,Bournemouth,Bournemouth,12-04-24 12:49,Prince Albert Parkland,53.16,-107.90,YES,YES
185,Brabant,Brabant,Brabant,12-04-24 12:49,Mamawetan Churchill River,56.11,-103.75,YES,YES
186,Bracken,Bracken,Bracken,12-04-24 12:49,Cypress,49.18,-108.10,YES,YES
187,Brada,Brada,Brada,12-04-24 12:49,Prairie North,52.71,-108.18,YES,YES
188,Braddock,Braddock,Braddock,12-04-24 12:49,Cypress,50.10,-107.38,YES,YES
189,Bradwell,Bradwell,Bradwell,12-04-24 12:49,Saskatoon,51.95,-106.23,YES,YES
190,Brancepeth,Brancepeth,Brancepeth,12-04-24 12:49,Prince Albert Parkland,53.00,-105.26,YES,YES
191,Brass,Brass,Brass,12-04-24 12:49,Heartland,52.33,-108.73,YES,YES
192,Bratton,Bratton,Bratton,12-04-24 12:49,Heartland,51.41,-107.16,YES,YES
193,Bredenbury,Bredenbury,Bredenbury,12-04-24 12:49,Sunrise,50.95,-102.05,YES,YES
194,Breeze,Breeze,Breeze,12-04-24 12:49,Sun Country,49.33,-102.68,YES,YES
195,Bremen,Bremen,Bremen,12-04-24 12:49,Saskatoon,52.36,-105.70,YES,YES
196,Bresaylor,Bresaylor,Bresaylor,12-04-24 12:49,Prairie North,52.96,-108.76,YES,YES
197,Brewer,Brewer,Brewer,12-04-24 12:49,Sunrise,50.98,-102.70,YES,YES
198,Briarlea,Briarlea,Briarlea,12-04-24 12:49,Prince Albert Parkland,53.30,-106.08,YES,YES
199,Bridgeford,Bridgeford,Bridgeford,12-04-24 12:49,Five Hills,50.93,-106.41,YES,YES
200,Briercrest,Briercrest,Briercrest,12-04-24 12:49,Five Hills,50.16,-105.26,YES,YES
201,Bright Sand,Bright Sand,Bright Sand,12-04-24 12:49,Prairie North,53.68,-108.93,YES,YES
202,Brightholme,Brightholme,Brightholme,12-04-24 12:49,Prince Albert Parkland,53.03,-106.45,YES,YES
203,Brightmore,Brightmore,Brightmore,12-04-24 12:49,Sun Country,49.76,-104.08,YES,YES
204,Brisbin,Brisbin,Brisbin,12-04-24 12:49,Heartland,51.66,-107.66,YES,YES
205,Broadacres,Broadacres,Broadacres,12-04-24 12:49,Heartland,52.05,-108.98,YES,YES
206,Broadview,Broadview,Broadview,12-04-24 12:49,Regina Qu'Appelle,50.36,-102.58,YES,YES
207,Brock,Brock,Brock,12-04-24 12:49,Heartland,51.43,-108.71,YES,YES
208,Brockington,Brockington,Brockington,12-04-24 12:49,Kelsey Trail,53.10,-104.70,YES,YES
209,Broderick,Broderick,Broderick,12-04-24 12:49,Heartland,51.50,-106.91,YES,YES
210,Bromhead,Bromhead,Bromhead,12-04-24 12:49,Sun Country,49.18,-103.66,YES,YES
211,Broncho,Broncho,Broncho,12-04-24 12:49,Cypress,49.40,-107.41,YES,YES
212,Brooking,Brooking,Brooking,12-04-24 12:49,Sun Country,49.50,-104.41,YES,YES
213,Brooksby,Brooksby,Brooksby,12-04-24 12:49,Kelsey Trail,53.00,-104.31,YES,YES
214,Brora,Brora,Brora,12-04-24 12:49,Regina Qu'Appelle,50.58,-104.68,YES,YES
215,Brough,Brough,Brough,12-04-24 12:49,Sun Country,49.71,-103.55,YES,YES
216,Browning,Browning,Browning,12-04-24 12:49,Sun Country,49.45,-102.63,YES,YES
217,Brownlee,Brownlee,Brownlee,12-04-24 12:49,Five Hills,50.73,-106.01,YES,YES
218,Bruno,Bruno,Bruno,12-04-24 12:49,Saskatoon,52.26,-105.51,YES,YES
219,Bryant,Bryant,Bryant,12-04-24 12:49,Sun Country,49.38,-103.10,YES,YES
220,B-Say-Tah,B-Say-Tah,B-Say-Tah,12-04-24 12:49,Regina Qu'Appelle,50.80,-103.85,YES,YES
221,Buccleugh,Buccleugh,Buccleugh,12-04-24 12:49,Heartland,52.50,-109.35,YES,YES
222,Buchanan,Buchanan,Buchanan,12-04-24 12:49,Sunrise,51.70,-102.75,YES,YES
223,Buckland,Buckland,Buckland,12-04-24 12:49,Prince Albert Parkland,53.18,-105.93,YES,YES
224,Buena Vista,Buena Vista,Buena Vista,12-04-24 12:49,Regina Qu'Appelle,50.78,-104.95,YES,YES
225,Buffalo Gap,Buffalo Gap,Buffalo Gap,12-04-24 12:49,Sun Country,49.11,-105.26,YES,YES
226,Buffalo Horn,Buffalo Horn,Buffalo Horn,12-04-24 12:49,Cypress,49.48,-107.55,YES,YES
227,Buffalo Narrows,Buffalo Narrows,Buffalo Narrows,12-04-24 12:49,Keewatin YatthT,55.85,-108.48,YES,YES
228,Bulyea,Bulyea,Bulyea,12-04-24 12:49,Saskatoon,50.98,-104.86,YES,YES
229,Burdick,Burdick,Burdick,12-04-24 12:49,Five Hills,50.40,-105.40,YES,YES
230,Bures,Bures,Bures,12-04-24 12:49,Sun Country,49.68,-104.86,YES,YES
231,Burgis,Burgis,Burgis,12-04-24 12:49,Sunrise,51.55,-102.45,YES,YES
232,Burnham,Burnham,Burnham,12-04-24 12:49,Cypress,50.25,-107.46,YES,YES
233,Burr,Burr,Burr,12-04-24 12:49,Saskatoon,52.05,-105.13,YES,YES
234,Burrows,Burrows,Burrows,12-04-24 12:49,Regina Qu'Appelle,50.31,-102.13,YES,YES
235,Burstall,Burstall,Burstall,12-04-24 12:49,Cypress,50.65,-109.90,YES,YES
236,Burt,Burt,Burt,12-04-24 12:49,Five Hills,50.41,-105.66,YES,YES
237,Burton Lake,Burton Lake,Burton Lake,12-04-24 12:49,Saskatoon,52.26,-105.11,YES,YES
238,Bush,Bush,Bush,12-04-24 12:49,Heartland,52.41,-108.73,YES,YES
239,Bushell,Bushell,Bushell,12-04-24 12:49,Athabasca Health Authority,59.51,-108.75,YES,YES
240,Bushell Park,Bushell Park,Bushell Park,12-04-24 12:49,Five Hills,50.33,-105.55,YES,YES
241,Butterton,Butterton,Butterton,12-04-24 12:49,Regina Qu'Appelle,51.03,-104.70,YES,YES
242,Butte-St-Pierre,Butte-St-Pierre,Butte-St-Pierre,12-04-24 12:49,Prairie North,53.45,-109.36,YES,YES
243,Buttress,Buttress,Buttress,12-04-24 12:49,Five Hills,50.20,-105.63,YES,YES
244,Buzzard,Buzzard,Buzzard,12-04-24 12:49,Prairie North,53.01,-109.81,YES,YES
245,Cabana,Cabana,Cabana,12-04-24 12:49,Prairie North,54.08,-108.25,YES,YES
246,Cabri,Cabri,Cabri,12-04-24 12:49,Cypress,50.61,-108.46,YES,YES
247,Cactus Lake,Cactus Lake,Cactus Lake,12-04-24 12:49,Heartland,52.11,-109.81,YES,YES
248,Cadillac,Cadillac,Cadillac,12-04-24 12:49,Cypress,49.73,-107.75,YES,YES
249,Calder,Calder,Calder,12-04-24 12:49,Sunrise,51.15,-101.75,YES,YES
250,Calderbank,Calderbank,Calderbank,12-04-24 12:49,Cypress,50.61,-106.85,YES,YES
251,Calley,Calley,Calley,12-04-24 12:49,Sunrise,51.20,-102.40,YES,YES
252,Cameo,Cameo,Cameo,12-04-24 12:49,Prince Albert Parkland,53.25,-106.53,YES,YES
253,Camp Dundurn,Camp Dundurn,Camp Dundurn,12-04-24 12:49,Saskatoon,51.85,-106.56,YES,YES
254,Camsell Portage,Camsell Portage,Camsell Portage,12-04-24 12:49,Athabasca Health Authority,59.61,-109.25,YES,YES
255,Cana,Cana,Cana,12-04-24 12:49,Sunrise,50.88,-102.65,YES,YES
256,Cana Junction,Cana Junction,Cana Junction,12-04-24 12:49,Sunrise,50.91,-102.78,YES,YES
257,Candiac,Candiac,Candiac,12-04-24 12:49,Regina Qu'Appelle,50.21,-103.25,YES,YES
258,Candle Lake,Candle Lake,Candle Lake,12-04-24 12:49,Prince Albert Parkland,53.75,-105.25,YES,YES
259,Cando,Cando,Cando,12-04-24 12:49,Heartland,52.38,-108.23,YES,YES
260,Cannington Lake,Cannington Lake,Cannington Lake,12-04-24 12:49,Sun Country,49.78,-102.16,YES,YES
261,Canoe Lake,Canoe Lake,Canoe Lake,12-04-24 12:49,Keewatin YatthT,55.10,-108.33,YES,YES
262,Canoe Narrows,Canoe Narrows,Canoe Narrows,12-04-24 12:49,Keewatin YatthT,55.16,-108.15,YES,YES
263,Canoe River,Canoe River,Canoe River,12-04-24 12:49,Keewatin YatthT,55.23,-108.16,YES,YES
264,Canopus,Canopus,Canopus,12-04-24 12:49,Five Hills,49.20,-106.20,YES,YES
265,Canora,Canora,Canora,12-04-24 12:49,Sunrise,51.63,-102.43,YES,YES
266,Cantal,Cantal,Cantal,12-04-24 12:49,Sun Country,49.43,-101.93,YES,YES
267,Cantuar,Cantuar,Cantuar,12-04-24 12:49,Cypress,50.38,-108.00,YES,YES
268,Cantyre,Cantyre,Cantyre,12-04-24 12:49,Kelsey Trail,53.36,-101.85,YES,YES
269,Canuck,Canuck,Canuck,12-04-24 12:49,Cypress,49.20,-108.21,YES,YES
