"#","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","LATITUDE","LONGITUDE","APPROVED","VERIFIED"
19,"White Buffalo Youth Lodge",2013-05-01 12:49:00,"602-20th Street West, Saskatoon, 602-20th Street West, Saskatoon, SK, S7M 0X8","ID: 18a Rescode: 34424 Telephone: 655-5365 Fax: ","Saskatoon,Primary Health Centre,",52.116666666667,-106.63333333333,"YES","YES"
20,"Whispering Pine Place",2013-07-12 12:49:00,"Box 418, Canwood, SK, S0J 0K0","ID: 27142 Rescode: 49451 Telephone: 468-2900 Fax: 468-2199","Prince Albert Parkland,Special Care Home,",53.366666666667,-106.599999999999,"YES","YES"
21,"Wheatland Lodge",2013-07-14 12:49:00,"Box 130, Leask, SK, S0J 1M0","ID: 27151 Rescode: 46452 Telephone: 466-4949 Fax: 466-2209","Prince Albert Parkland,Special Care Home,",53.016666666667,-106.75,"YES","YES"
22,"Wheatbelt Centennial Lodge",2013-05-20 12:49:00,"Box 250, 301 Centennial Dr., Rosetown, SK, S0L 2V0","ID: 19121 Rescode: 28730 Telephone: 882-5210 Fax: 882-6696","Heartland,Special Care Home,",51.5499999999999,-108,"YES","YES"
23,"Weyburn Special Care Home",2012-05-15 12:49:00,"Box 2003, 704 5th Street N.E., Weyburn, SK, S4H 2Z9","ID: 8129 Rescode: 6726 Telephone: 842-4455 Fax: 842-1433","Sun Country,Special Care Home,",49.6666666666669,-103.849999999999,"YES","YES"
24,"Weyburn Personal Care Home",2012-05-24 12:49:00,"704 Elgin Street, Weyburn, SK, S4H 1V2","ID: 7420 Rescode: 6726 Telephone: 842-3105 Fax: ","Sun Country,Personal Care Home,",49.6666666666669,-103.849999999999,"YES","YES"
25,"Weyburn General Hospital",2012-04-27 12:49:00,"Box 2003, 201 1st Avenue N.E., Weyburn, SK, S4H 2Z9","ID: 168 Rescode: 6726 Telephone: 842-8400 Fax: 842-0737","Sun Country,Hospital,District Hospital",49.6666666666669,-103.849999999999,"YES","YES"
26,"Western Senior Citizens Lodge",2012-07-08 12:49:00,"Box 69, 400 1st Street W., Leader, SK, S0N 1H0","ID: 1119 Rescode: 23130 Telephone: 628-3565 Fax: 628-3733","Cypress,Special Care Home,",50.8833333333329,-109.55,"YES","YES"
27,"Weldon Personal Care Home",2013-08-22 12:49:00,"Box 282, Weldon, SK, S0J 3A0","ID: 7358 Rescode: 45959 Telephone: 864-2613 Fax: ","Prince Albert Parkland,Personal Care Home,",53.016666666667,-105.13333333333,"YES","YES"
28,"Weldon Personal Care Home",2013-08-23 12:49:00,"Parcel B, Village, Weldon, SK, S0J 3A0","ID: 7471 Rescode: 45959 Telephone: 887-2888 Fax: ","Prince Albert Parkland,Personal Care Home,",53.016666666667,-105.13333333333,"YES","YES"
29,"Welchman Extendivilla",2012-11-06 12:49:00,"532/534 Halifax Street, Regina, SK, S4R 1T6","ID: 809 Rescode: 15923 Telephone: 543-3259 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
30,"Weaver Manor",2012-11-05 12:49:00,"6307 - 1st Avenue North, Regina, SK, S4T 7A1","ID: 2763 Rescode: 15923 Telephone: 543-9285 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
31,"Wawota Memorial Health Centre/Deer View Lodge",2012-05-08 12:49:00,"Box 60, 609 Choo Foo Crescent, Wawota, SK, S0G 5A0","ID: 167/11145 Rescode: 9330 Telephone: 739-2244 Fax: 739-2479","Sun Country,Health Centre w/ Special Care Home,Hospital operating as Health Centre",49.8999999999999,-102.03333333333,"YES","YES"
32,"Watson Community Health Centre/Quill Plains Centennial Lodge",2013-01-11 12:49:00,"Box 220, 402 2nd Street N.E., Watson, SK, S0K 4V0","ID: 166/42136 Rescode: 33830 Telephone: 287-3791 Fax: 287-4444","Saskatoon,Health Centre w/ Special Care Home,",52.116666666667,-104.51666666667,"YES","YES"
33,"Watrous Hospital",2013-01-01 12:49:00,"Box 130, 702 4th Street E., Watrous, SK, S0K 4T0","ID: 165 Rescode: 31230 Telephone: 946-1200 Fax: 946-2369","Saskatoon,Hospital,Community Hospital",51.6666666666669,-105.466666666669,"YES","YES"
34,"Wascana Rehabilitation Centre",2012-07-31 12:49:00,"2180 23rd Avenue, Regina, SK, S4S 0A5","ID: 501 Rescode: 15923 Telephone: 766-5100 Fax: 766-5244","Regina Qu'Appelle,Rehabilitation Centre,",50.45,-104.61666666667,"YES","YES"
35,"Warman Personal Care Home",2013-04-24 12:49:00,"205 - 6th Avenue South, Warman, SK, S0K 4S0","ID: 5371 Rescode: 34432 Telephone: 931-2464 Fax: ","Saskatoon,Personal Care Home,",52.3166666666669,-106.56666666667,"YES","YES"
36,"Warman Mennonite Special Care Home",2013-02-05 12:49:00,"405 3rd Avenue N., Warman, SK, S0K 4S0","ID: 45302 Rescode: 34432 Telephone: 933-2011 Fax: 933-2782","Saskatoon,Special Care Home,",52.3166666666669,-106.56666666667,"YES","YES"
37,"Wakaw Personal Care Home",2013-04-23 12:49:00,"SE-10-43-25-2RMHodoo#401, Wakaw, SK, S0K 4P0","ID: 7323 Rescode: 40130 Telephone: 233-4707 Fax: ","Saskatoon,Personal Care Home,",52.6499999999999,-105.733333333329,"YES","YES"
38,"Wakaw Hospital",2012-12-31 12:49:00,"Box 309, 301 1st Street N., Wakaw, SK, S0K 4P0","ID: 163 Rescode: 40130 Telephone: 233-4611 Fax: 233-5990","Saskatoon,Hospital,Community Hospital",52.6499999999999,-105.733333333329,"YES","YES"
39,"Wadena Hospital",2012-12-30 12:49:00,"Box 10, 533 & 433 5th Street N.E., Wadena, SK, S0A 4J0","ID: 162 Rescode: 33730 Telephone: 338-2515 Fax: 338-2720","Saskatoon,Hospital,Community Hospital",51.95,-103.8,"YES","YES"
40,"W5 Eld'r Care Homes",2013-08-09 12:49:00,"1302/1304 - 13th Street W, Prince Albert, SK, S6V 3J4","ID: 5452 Rescode: 46122 Telephone: 922-7476 Fax: ","Prince Albert Parkland,Personal Care Home,",53.2,-105.76666666667,"YES","YES"
41,"Villeneuve Care Home",2013-08-08 12:49:00,"801 - 12th Street West, Prince Albert, SK, S6V 3C6","ID: 5681 Rescode: 46122 Telephone: 764-8965 Fax: ","Prince Albert Parkland,Personal Care Home,",53.2,-105.76666666667,"YES","YES"
42,"Villa Pascal (Societe Joseph Breton Inc.)",2013-09-13 12:49:00,"1301 113th Street, North Battleford, SK, S9A 3K1","ID: 24134 Rescode: 43721 Telephone: 445-8465 Fax: 445-5117","Prairie North,Special Care Home,",52.7833333333329,-108.28333333333,"YES","YES"
43,"Victoria Hospital",2013-07-04 12:49:00,"1200 24th Street W., Prince Albert, SK, S6V 5T4","ID: 120 Rescode: 46122 Telephone: 765-6000 Fax: 763-2871","Prince Albert Parkland,Hospital,Regional Hospital",53.2,-105.76666666667,"YES","YES"
44,"Vanguard Health Centre",2012-07-01 12:49:00,"Box 190, Division Street, Vanguard, SK, S0N 2V0","ID: 160 Rescode: 10653 Telephone: 582-2044 Fax: 582-4833","Cypress,Health Centre,",49.9166666666669,-107.3,"YES","YES"
45,"Vanguard",2012-07-21 12:49:00,"Vanguard Health Centre-Division St. /Box 190, P.O. Box 190, Vanguard, SK, S0N 2V0","ID: 20a Rescode: 10653 Telephone: 582-2044 Fax: ","Cypress,Primary Health Centre,",49.9166666666669,-107.3,"YES","YES"
46,"V.I.P. Care Home",2012-11-04 12:49:00,"47 Jupp Place, Regina, SK, S4S 6R1","ID: 5576 Rescode: 15923 Telephone: 584-3799 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
47,"Uranium City Municipal Hospital",2013-10-03 12:49:00,"Box 360, Baska Road, Uranium City, SK, S0J 2W0","ID: 157 Rescode: 80175 Telephone: 498-2412 Fax: 498-2577","Athabasca Health Authority,Health Centre,Hospital operating as Health Centre",59.5666666666669,-108.61666666667,"YES","YES"
48,"University Park Personal Care Home",2012-11-03 12:49:00,"183 Houston Road, Regina, SK, S4V 0G5","ID: 5770 Rescode: 15923 Telephone: 789-7534 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
49,"Unity & District Health Centre",2013-05-08 12:49:00,"Box 741, Highway 14 N., Unity, SK, S0K 4L0","ID: 156 Rescode: 41030 Telephone: 228-2666 Fax: 228-2292","Heartland,Hospital w/ Special Care Home,Community Hospital",52.45,-109.16666666667,"YES","YES"
50,"Unique Care Home",2012-11-02 12:49:00,"317 Rose Street North, Regina, SK, S4R 2Y5","ID: 4685 Rescode: 15923 Telephone: 543-6739 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
51,"Tisdale Hospital",2013-06-06 12:49:00,"Box 1630, 2010 110th Avenue W., Tisdale, SK, S0E 1T0","ID: 153 Rescode: 42730 Telephone: 873-2621 Fax: 873-5994","Kelsey Trail,Hospital,District Hospital",52.85,-104.05,"YES","YES"
52,"Thomson's Tender Loving Care Home",2013-05-26 12:49:00,"304 - 1st Street West, Milden, SK, S0L 2L0","ID: 7021 Rescode: 28654 Telephone: 935-2029 Fax: ","Heartland,Personal Care Home,",51.483333333333,-107.51666666667,"YES","YES"
53,"Theodore Health Centre",2012-12-08 12:49:00,"Box 70, 615 Anderson Avenue, Theodore, SK, S0A 4C0","ID: 152 Rescode: 27555 Telephone: 647-2115 Fax: 647-2238","Sunrise,Health Centre w/ Special Care Home,",51.433333333333,-102.91666666667,"YES","YES"
54,"The Victorian",2012-11-01 12:49:00,"7103 Sherwood Drive, Regina, SK, S4X 2V5","ID: 7624 Rescode: 15923 Telephone: 949-2929 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
55,"The Shady Rest Personal Care Home",2013-08-07 12:49:00,"2052 - 15th Avenue East, Prince Albert, SK, S6V 7X6","ID: 6149 Rescode: 46122 Telephone: 763-7630 Fax: ","Prince Albert Parkland,Personal Care Home,",53.2,-105.76666666667,"YES","YES"
56,"The Salvation Army William Booth Special Care Home",2012-08-26 12:49:00,"50 Angus Road, Regina, SK, S4R 0J5","ID: 15192 Rescode: 15923 Telephone: 543-0655 Fax: 543-1292","Regina Qu'Appelle,Special Care Home,",50.45,-104.61666666667,"YES","YES"
57,"The Palliser Regional Care Centre",2012-07-12 12:49:00,"440 Central Avenue S., Swift Current, SK, S9H 3G6","ID: 3151 Rescode: 13725 Telephone: 778-5160 Fax: 773-3029","Cypress,Special Care Home,",50.2833333333329,-107.8,"YES","YES"
58,"The Eastern Saskatchewan Pioneer Lodge (Nursing Home)",2012-08-17 12:49:00,"Bag Service #3, 405 Windover Avenue, Moosomin, SK, S0G 3N0","ID:  Rescode: 12131 Telephone: 435-2100 Fax: 435-4295","Regina Qu'Appelle,Special Care Home,",50.1333333333329,-101.66666666667,"YES","YES"
59,"The Eastern Saskatchewan Pioneer Lodge",2012-08-16 12:49:00,"Bag Service #3, 506 Windover Avenue, Moosomin, SK, S0G 3N0","ID: 12111 Rescode: 12131 Telephone: 435-2326 Fax: 435-3335","Regina Qu'Appelle,Special Care Home,",50.1333333333329,-101.66666666667,"YES","YES"
60,"The Border-Line Housing Company",2012-05-10 12:49:00,"Box 250, 415 Spencer St., Carnduff, SK, S0C 0S0","ID: 10115 Rescode: 230 Telephone: 482-3424 Fax: 482-5322","Sun Country,Special Care Home,",49.1666666666669,-101.8,"YES","YES"
61,"T.L.C. Personal Care Home",2013-08-18 12:49:00,"308 - 3rd Avenue East, Shellbrook, SK, S0J 2E0","ID: 5908 Rescode: 49330 Telephone: 747-3123 Fax: ","Prince Albert Parkland,Personal Care Home,",53.216666666667,-106.4,"YES","YES"
62,"Swift Current Care Centre",2012-07-11 12:49:00,"700 Aberdeen Street E., Swift Current, SK, S9H 3E3","ID: 3133 Rescode: 13725 Telephone: 773-9371 Fax: 773-1353","Cypress,Special Care Home,",50.2833333333329,-107.8,"YES","YES"
63,"Sunshine Haven Care Home""""",2013-03-28 12:49:00,"3319 Fairlight Drive, Saskatoon, SK, ","ID: 7447 Rescode: 34424 Telephone: 655-4651 Fax: ","Saskatoon,Personal Care Home,",52.116666666667,-106.63333333333,"YES","YES"
64,"Sunshine Family Care Home",2013-05-24 12:49:00,"404 - 4th Avenue East, Biggar, SK, S0K 0M0","ID: 930 Rescode: 34730 Telephone: 948-3644 Fax: ","Heartland,Personal Care Home,",52.0666666666669,-108,"YES","YES"
65,"Sunrise Country Haven",2012-09-01 12:49:00,"NW3-18-15W2RM S.QuAppe157, McLean, SK, S0G 3E0","ID: 6912 Rescode: 15750 Telephone: 699-2548 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.516666666667,-104.06666666667,"YES","YES"
66,"Sunnyside Nursing Home",2013-02-01 12:49:00,"2200 St. Henry Avenue, Saskatoon, SK, S7M 0P5","ID: 45296 Rescode: 34424 Telephone: 653-1267 Fax: 653-7223","Saskatoon,Special Care Home,",52.116666666667,-106.63333333333,"YES","YES"
67,"Sunnet Care Home",2012-10-31 12:49:00,"177 McIntyre Street North, Regina, SK, S4R 3B6","ID: 6696 Rescode: 15923 Telephone: 949-6787 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
68,"Student Health Centre",2013-04-30 12:49:00,"University of Saskatchewan, 91 Campus Drive, Saskatoon, SK, S7N 5E8","ID: 17 Rescode: 34424 Telephone: 966-5773 Fax: ","Saskatoon,Primary Health Centre,",52.116666666667,-106.63333333333,"YES","YES"
69,"Stuart Manor",2012-10-30 12:49:00,"2909 Pasqua Street, Regina, SK, S4S 2H4","ID: 744 Rescode: 15923 Telephone: 586-2167 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
70,"Strasbourg and District Health Centre",2013-01-08 12:49:00,"Box 217, 303 Edward Street, Strasbourg, SK, S0G 4V0","ID: 670 Rescode: 22030 Telephone: 725-3220 Fax: 725-4060","Saskatoon,Health Centre,",51.0666666666669,-104.95,"YES","YES"
71,"St. Walburg Personal Care Home",2013-09-22 12:49:00,"408 - 3rd Avenue, St. Walburg, SK, S0M 2T0","ID: 7145 Rescode: 50130 Telephone: 248-3995 Fax: ","Prairie North,Personal Care Home,",,,"YES","YES"
72,"St. Walburg Health Complex",2013-09-05 12:49:00,"Box 339, St. Walburg, SK, S0M 2T0","ID: 138/25137 Rescode: 50130 Telephone: 248-6711 Fax: 248-3413","Prairie North,Health Centre w/ Special Care Home,24/7 ER Health Centre Site",,,"YES","YES"
73,"St. Peter's Hospital",2012-11-25 12:49:00,"Box 1810, 200 Heritage Drive, Melville, SK, S0A 2P0","ID: 92 Rescode: 21421 Telephone: 728-5407 Fax: 728-4870","Sunrise,Hospital,District Hospital",50.9166666666669,-102.8,"YES","YES"
74,"St. Paul's Hospital",2012-12-29 12:49:00,"1702 20th Street W., Saskatoon, SK, S7M 0Z9","ID: 141 Rescode: 34424 Telephone: 655-5000 Fax: 655-5555","Saskatoon,Hospital,Provincial Hospital",52.116666666667,-106.63333333333,"YES","YES"
75,"St. Paul Lutheran Home",2012-12-06 12:49:00,"Box 1390, Heritage Drive, Melville, SK, S0A 2P0","ID: 38117 Rescode: 21421 Telephone: 728-4591 Fax: 728-5471","Sunrise,Special Care Home,",50.9166666666669,-102.8,"YES","YES"
76,"St. Louis Personal Care Home",2013-08-21 12:49:00,"457 River Road, St. Louis, SK, S0J 2C0","ID: 5622 Rescode: 43151 Telephone: 422-8223 Fax: ","Prince Albert Parkland,Personal Care Home,",,,"YES","YES"
77,"St. Joseph's Integrated Care Centre",2012-07-30 12:49:00,"Box 280, 505 Westmoor Street, Lestock, SK, S0A 2G0","ID: 79 Rescode: 24753 Telephone: 274-2215 Fax: 274-2045","Regina Qu'Appelle,Hospital w/ Special Care Home,Community Hospital",51.3166666666669,-103.983333333329,"YES","YES"
78,"St. Joseph's Hospital / Foyer d' Youville",2012-05-29 12:49:00,"Mailbag 50, 216 Bettez Street, Gravelbourg, SK, S0H 1X0","ID: 46/5111 Rescode: 10430 Telephone: 648-3185 Fax: 648-3440","Five Hills,Hospital w/ Special Care Home,Community Hospital",49.8833333333329,-106.55,"YES","YES"
79,"St. Joseph's Hospital",2012-04-25 12:49:00,"Box 5000, 1176 Nicholson Road, Estevan, SK, S4A 2V6","ID: 36 Rescode: 528 Telephone: 637-2400 Fax: 634-8785","Sun Country,Hospital,District Hospital",49.1333333333329,-102.983333333329,"YES","YES"
80,"St. Joseph's Hospital",2013-09-28 12:49:00,"Bag 500, Ile a la Crosse, SK, S0M 1C0","ID: 56 Rescode: 80374 Telephone: 833-2016 Fax: 833-2556","Keewatin Yatthé,Hospital,Northern Hospital",,,"YES","YES"
81,"St. Joseph's Home for the Aged",2013-01-31 12:49:00,"33 Valens Drive, Saskatoon, SK, S7L 3S2","ID: 45250 Rescode: 34424 Telephone: 382-6306 Fax: 384-0140","Saskatoon,Special Care Home,",52.116666666667,-106.63333333333,"YES","YES"
82,"St. Joseph's Health Centre",2013-05-16 12:49:00,"Box 190, Highway 31 N., Macklin, SK, S0L 2C0","ID: 85 Rescode: 38230 Telephone: 753-2115 Fax: 753-2181","Heartland,Health Centre w/ Special Care Home,",52.333333333333,-109.93333333333,"YES","YES"
83,"St. Brieux*",2013-07-02 12:49:00,"St. Brieux Health Centre, 501 1st Ave, St. Brieux, SK, S0K 3V0","ID: 19b Rescode: 39910 Telephone: 752-9600 Fax: ","Kelsey Trail,Primary Health Centre,",,,"YES","YES"
84,"St. Anthony's Hospital",2012-11-24 12:49:00,"Box 280, 216 Ancona Street, Esterhazy, SK, S0A 0X0","ID: 35 Rescode: 18330 Telephone: 745-3973 Fax: 745-3388","Sunrise,Hospital,Community Hospital",50.6499999999999,-102.08333333333,"YES","YES"
85,"St. Anne's Senior Citizens' Village",2013-01-30 12:49:00,"2910 Louise Street, Saskatoon, SK, S7J 3L8","ID: 45241 Rescode: 34424 Telephone: 374-8900 Fax: 477-2623","Saskatoon,Special Care Home,",52.116666666667,-106.63333333333,"YES","YES"
86,"St Mary's Villa",2013-01-14 12:49:00,"Box 1360, 1109 13th Street N., Humboldt, SK, S0K 2A0","ID: 44114 Rescode: 37030 Telephone: 682-2628 Fax: 682-3211","Saskatoon,Special Care Home,",52.2,-105.11666666667,"YES","YES"
87,"Spruce Manor Special Care Home",2013-01-12 12:49:00,"Box 190, Dalmeny, SK, S0K 1E0","ID: 45117 Rescode: 34433 Telephone: 254-2162 Fax: 254-2178","Saskatoon,Special Care Home,",52.333333333333,-106.76666666667,"YES","YES"
88,"Spiritwood & District Health Complex",2013-07-06 12:49:00,"Box 69, Spiritwood, SK, S0J 2M0","ID: 148 Rescode: 49630 Telephone: 883-2133 Fax: 883-2136","Prince Albert Parkland,Hospital w/ Special Care Home,Community Hospital",53.366666666667,-107.51666666667,"YES","YES"
89,"Spiritwood & District Health Complex",2013-07-19 12:49:00,"Box 159, Spiritwood, SK, S0J 2M0","ID:  Rescode: 49630 Telephone: 883-2267 Fax: 883-2136","Prince Albert Parkland,Special Care Home,",53.366666666667,-107.51666666667,"YES","YES"
90,"Spalding Community Health Centre",2013-01-07 12:49:00,"Box 220, 133 Centre Street, Spalding, SK, S0K 4C0","ID: 147 Rescode: 36852 Telephone: 872-2011 Fax: 872-2186","Saskatoon,Health Centre,",52.333333333333,-104.5,"YES","YES"
91,"Southey Health Action Centre",2012-08-06 12:49:00,"Box 519, Southey, SK, S0G 4P0","ID:  Rescode: 21831 Telephone: 726-2239 Fax: 000-0000","Regina Qu'Appelle,Health Centre,",50.933333333333,-104.5,"YES","YES"
92,"South Gemini Care Home",2012-10-29 12:49:00,"2928 Wascana Street, Regina, SK, S4S 2G8","ID: 6815 Rescode: 15923 Telephone: 586-9888 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
93,"Souris Valley Extended Care Centre",2012-05-14 12:49:00,"Box 2003, Weyburn, SK, S4H 2Z9","ID: 8156 Rescode: 6726 Telephone: 842-7481 Fax: 842-7710","Sun Country,Special Care Home,",49.6666666666669,-103.849999999999,"YES","YES"
94,"Soft Hearts, Open Minds",2013-06-25 12:49:00,"115 McCosh Drive, Melfort, SK, S0E 1A0","ID: 5940 Rescode: 42820 Telephone: 752-1979 Fax: ","Kelsey Trail,Personal Care Home,",52.866666666667,-104.61666666667,"YES","YES"
95,"Smeaton Health Centre",2013-06-11 12:49:00,"Box 158, 2nd Avenue, Smeaton, SK, S0J 2J0","ID: 146 Rescode: 48861 Telephone: 426-2051 Fax: 426-2229","Kelsey Trail,Health Centre,",53.5,-104.81666666667,"YES","YES"
96,"Smeaton & District Care Home",2013-06-27 12:49:00,"15,16&17 Block 4Plan849, Smeaton, SK, S0J 2J0","ID: 7455 Rescode: 48861 Telephone:  Fax: ","Kelsey Trail,Personal Care Home,",53.5,-104.81666666667,"YES","YES"
97,"Silver Heights Special Care Home",2012-08-18 12:49:00,"Box 549, 402 McLean Street, Raymore, SK, S0A 3J0","ID: 40130 Rescode: 27830 Telephone: 746-5744 Fax: 746-5747","Regina Qu'Appelle,Special Care Home,",51.4166666666669,-104.51666666667,"YES","YES"
98,"Silva Care Inc.",2012-10-28 12:49:00,"4002 Montague Street, Regina, SK, S4S 3J9","ID: 7005 Rescode: 15923 Telephone: 537-5322 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
99,"Shirley & Lawrence Boychuk",2012-10-27 12:49:00,"174 Fulton Drive, Regina, SK, S4X 1W4","ID: 7600 Rescode: 15923 Telephone: 543-8613 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
100,"Sherlyn Care Home",2012-12-12 12:49:00,"926 Main Street, Canora, SK, S0A 0L0","ID: 5738 Rescode: 27430 Telephone: 563-5315 Fax: ","Sunrise,Personal Care Home,",51.6333333333329,-102.43333333333,"YES","YES"
101,"Sherbrooke Community Centre",2013-01-29 12:49:00,"410 Acadia Drive, Saskatoon, SK, S7H 3V5","ID:  Rescode: 34424 Telephone: 655-3600 Fax: 655-3688","Saskatoon,Special Care Home,",52.116666666667,-106.63333333333,"YES","YES"
102,"Shellbroook & District Hospital",2013-07-05 12:49:00,"Box 70, Shellbrook, SK, S0J 2E0","ID: 145 Rescode: 49330 Telephone: 747-2603 Fax: 747-3004","Prince Albert Parkland,Hospital,Community Hospital",53.216666666667,-106.4,"YES","YES"
103,"Shellbrook Personal Care Home",2013-08-19 12:49:00,"311-5th Avenue East, Shellbrook, SK, S0J 2E0","ID: 7196 Rescode: 49330 Telephone: 747-2833 Fax: ","Prince Albert Parkland,Personal Care Home,",53.216666666667,-106.4,"YES","YES"
